iter	Passed	Remaining
0	12	25138
1	24	24100
2	35	23520
3	46	23178
4	57	23069
5	69	22995
6	80	229234	2242113	894603440
5	2242413	745228669
6	2242783	638552415
7	2243040	558517038
8	2243265	496260093
9	2243512	446458977
10	2243763	405713152
11	2244035	371761834
12	2244268	343027847
13	22446222	270	24315
23	1363	117174
24	3018	248402
25	4676	369278
26	6143	466224
27	7619	556540
28	8534	600760
29	10021	680804
30	11809	775096
31	13361	848216
32	14871	914112
33	15832	943228
34	17238	996277
35	18863	1058524
36	20708	1129179
37	22216	1178092
38	23105	1192378
39	24439	1228232
40	25895	1268254
41	27722	1323903
42	29329	1366634
43	30324	1379409
44	31724	1409584
45	33276	1444947
46	35232	1495847
47	36872	1531390
48	37871	1539305
49	39709	1580275
50	41734	1626816
51	43235	1651416
52	44503	1666316
53	45512	1671095
54	46609	1678799
55	48154	1702049
56	49977	1734053
57	51530	1755638
58	52711	1764017
59	53895	1772147
60	55663	1798867
61	57481	1826199
62	59462	1857725
63	60574	1861473
64	62109	1877856
65	63789	1897979
66	65265	1911498
67	66342	1913035
68	67630	1920510
69	68738	1922673
70	70449	1941375
71	72264	1962349
72	73833	1976069
73	74909	1976372
74	76090	1979388
75	77511	1988425
76	79158	2002928
77	80638	2012826
78	81881	2016590
79	82978	2016682
80	84543	2027989
81	86111	2039029
82	87550	2046762
83	88598	2045240
84	89604	2042776
85	91105	2051477
86	92757	2063323
87	94104	2068124
88	95279	2069080
89	96370	2068183
90	98068	2080150
91	99871	2094006
92	101474	2103396
93	102722	2105259
94	103768	2102977
95	105292	2110285
96	107054	2122128
97	108627	2129990
98	109748	2128897
99	110824	2126931
100	112452	2135475
101	114148	2145095
102	115586	2149688
103	116792	2149893
104	117987	2149867
105	119563	2156696
106	121471	2169292
107	123049	2175795
108	123988	2170942
109	125277	2172234
110	126871	2178721
111	128942	2193181
112	130506	2198801
113	131482	2194476
114	133210	2202652
115	135173	2214500
116	136306	2212635
117	137904	2218252
118	138930	2214647
119	140758	2223752
120	142723	2234807
121	144355	2240497
122	145761	2242575
123	147063	2243016
124	148573	2246573
125	150425	2255179
126	152215	2262696
127	153257	2259035
128	154738	2261836
129	156506	2268743
130	158171	2274013
131	159671	2276842
132	160570	2271106
133	162179	2275392
134	163966	2282071
135	165308	2282484
136	166399	2279433
137	167480	2276261
138	169053	2279766
139	170710	2284330
140	172113	2285427
141	173251	2282986
142	174346	2280012
143	175910	2283152
144	177552	2287222
145	179005	2288806
146	180135	2286240
147	181194	2282805
148	182747	2285582
149	184433	2289940
150	185846	2290867
151	186914	2287532
152	187983	2284251
153	189506	2286462
154	191331	2292255
155	192148	699360	7073932
149	706219	7090638
150	712752	7103771
151	719627	7120019
152	726528	7136233
153	733380	7151661
154	735871	7124572
155	737343	7088009
156	743986	7101254
157	750665	7114590
158	757431	7128488
159	763937	7139695
160	768156	7129456
161	772981	7124870
162	779752	7138102
163	786575	7151566
164	793392	7164723
165	801250	7186975
166	810992	7225646
167	813714	7201612
168	814598	7161674
169	816298	7129325
170	823836	7147992
171	828502	7141598
172	835782	7157602
173	843408	7176283
174	850803	7192714
175	858215	7209013
176	865426	7223359
177	872948	7240046
178	880081	7253257
179	887462	7268266
180	894897	7283467
181	902262	7297860
182	909765	7313115
183	916994	7325937
184	924241	7338679
185	925911	7307192
186	933216	7320229
187	940531	7333125
188	947751	7345071
189	955188	7358491
190	962673	7372053
191	969952	7383827
192	977273	7395720
193	984659	7407902
194	985297	7369413
195	992746	7381962
196	1000173	7394136
197	1007674	7406663
198	1015490	7421286
199	1018135	7398112
200	1025632	7410192
201	1030661	7404356
202	1038014	7415124
203	1045857	7429194
204	1054757	7450514
205	1063868	7473027
206	1072844	7494284
207	1081049	7509902
208	1085971	7502599
209	1087606	7472740
210	1097102	7496870
211	1107487	7526718
212	1117514	7553764
213	1128197	7584875
214	1138344	7612013
215	1148493	7638818
216	1158675	7665498
217	1168600	7690148
218	1178452	7713996
219	1184746	7714375
220	1195823	7745677
221	1207075	7777714
222	1210496	7759176
223	1220293	7781424
224	1230027	7802986
225	1233445	7784414
226	1243248	7806060
227	1253136	7827964
228	1263113	7850140
229	1264453	7818627
230	1275204	7845281
231	1285833	7870860
232	1289154	7851619
233	1299237	7873490
234	1309088	7893689
235	1319137	7914825
236	1322747	7897249
237	1333407	7921680
238	1337118	7904732
239	1348258	7931594
240	1359934	7961285
241	1372573	7996235
242	1383585	8021363
243	1394140	8043560
244	1404489	8064300
245	1406621	8037837
246	1417124	8059174
247	1426975	8076564
248	1437992	8100301
249	1447853	8117280
250	1457350	8132013
251	1466989	8147346
252	1476858	8163744
253	1480065	8143285
254	1491119	8165935
255	1500844	8181072
256	1510445	8195347
257	1519972	8209032
258	1529909	8224745
259	1539587	8238875
260	1549961	8256527
261	1559854	8271410
262	1569547	8285052
263	1579429	8299513
264	1589257	8313502
265	1599080	8327286
266	1607807	8335210
267	1615639	8338393
268	1620856	8328057
367979	2259132
281	369696	2260281
282	371550	2262241
283	373080	2262211
284	374363	2260678
285	375364	2257456
286	377099	2258643
287	378646	2258684
288	380127	2258325
289	381550	2257618
290	382514	2254199
291	384031	2254038
292	385962	2256292
293	387564	2256605
294	388989	2255875
295	390023	2252881
296	391623	2253160
297	393666	2255959
298	395018	2254789
299	396464	2254144
300	397427	2250767
301	399084	2251312
302	400840	2252406
303	402462	2252726
304	403855	2251757
305	404810	2248357
306	406242	2247609
307	407852	2247841
308	409563	2248610
309	411039	2248077
310	411977	2244615
311	413611	2244941
312	415726	2247854
313	417188	2247219
314	418498	2245766
315	419531	2242830
316	420836	2241355
317	422238	2240393
318	423863	2240613
319	425573	2241266
320	427112	2241005
321	427986	2237263
322	429352	2236101
323	431030	2236554
324	432973	2238363
325	434507	2238047
326	435434	2234609
327	436766	2233251
328	438458	2233729
329	440305	2234982
330	441813	2234505
331	442744	2231108
332	444159	2230164
333	446003	2231357
334	447612	2231359
335	449104	2230773
336	450130	2227879
337	451569	2227027
338	453480	2228494
339	455094	2228487
340	456612	2228001
341	457565	2224761
342	459004	2223889
343	460981	2225614
344	462656	2225860
345	464085	2224921
346	465021	2221620
347	466510	2220967
348	468080	2220690
349	469796	2221102
350	471279	2220401
351	472185	2216984
352	473594	2215937
353	475520	2217298
354	477075	2216917
355	478582	2216311
356	479487	2212913
357	480502	2210042
358	482061	2209674
359	483670	2209525
360	485245	2209214
361	486750	2208581
362	487654	2205221
363	489086	2204257
364	490851	2204788
365	492604	2205246
366	494101	2204556
367	495046	2201404
368	496427	2200199
369	497966	2199689
370	499815	2200537
371	501485	2200589
372	502387	2197268
373	503734	2195902
374	505526	2196473
375	507299	2196946
376	509132	2197665
377	510210	2195122
378	511639	2194094
379	512982	2192695
380	514505	2192065
381	516318	2192660
382	518151	2193325
383	519643	2192544
384	520633	2189644
385	522123	2188848
386	523932	2189385
387	525419	2188570
388	526883	2187653
389	528830	2188734
390	530594	2189041
391	532053	2188085
392	532972	2184915
393	534681	2184982
394	536437	2185234
395	538142	2185268
396	539945	2185689
397	540956	2182900
398	542835	2183618
399	545039	2185622
400	547027	2186743
401	549071	2188069
402	550352	2186349
403	552525	2188164
404	554674	2189865
405	556236	2189238
406	558070	2189670
407	559380	2188044
408	561536	2189716
409	563833	2191920
410	565682	2192363
411	567310	2191943
412	568698	2190593
413	570730	2191716
414	572670	2192469
415	574483	2192728
416	575629	2190437
417	577032	2189125
418	578833	2189320
419	580539	2189145
420	581711	2186956
421	583006	2185236
422	584869	2185637
423	586725	2186002
424	588391	2185652
425	589971	2184975
426	591357	2183581
427	592502	2181297
428	593984	2180254
429	595613	2179751
430	597703	2180922
431	599292	2180257
432	600904	2179671
433	602107	2177597
434	603382	2175790
435	605084	2175521
436	606614	2174629
437	608467	2174887
438	610067	2174237
439	611513	2173031
440	612730	2171014
441	614457	2170804
442	616259	2170849
443	617968	2170561
444	619550	2169823
445	621136	2169090
446	622452	2167419
447	623587	2165117
448	625051	2163961
449	626673	2163350
450	628374	2163003
451	629867	2161940
452	631563	2161568
453	632806	2159644
454	634066	2157782
455	635540	2156646
456	637129	2155901
457	638890	2155730
458	640387	2154667
459	641892	2153627
460	643089	2151555
461	644320	2149599
462	645889	2148771
463	647283	2147360
464	649044	2147161
465	650444	2145768
466	652002	2144892
467	653233	2142940
468	654582	2141379
469	656129	2140465
470	657602	2139306
471	659409	2139230
472	661064	2138656
473	662595	2137675
474	663645	2135145
475	665169	2134144
476	666784	2133428
477	668670	2133578
478	670195	2132569
479	671781	2131750
480	672997	2129756
481	674272	2127955
482	676220	2128269
483	677783	2127371
484	679405	2126651
485	680758	2125089
486	682497	2124729
487	684409	2124902
488	686464	2125508
489	688146	2124952
490	689975	2124844
491	691406	2123504
492	693521	2124262
493	695688	2125164
494	697729	2125673
495	699587	2125615
496	701189	2124773
497	702375	2122673
498	703968	2121800
499	705397	2120433
500	706902	2119293
501	708550	2118580
502	710178	2117803
503	711901	2117304
504	713550	2116582
505	714886	2114931
506	716180	2113156
507	717886	2112597
508	719449	2111611
509	721334	2111568
510	722898	2110580
511	724316	2109163
512	725466	2106971
513	727020	2105948
514	728525	2104785
515	730067	2103729
516	731663	2102824
517	733349	2102174
518	734955	2101291
519	736551	2100379
520	737801	2098477
521	739102	2096724
522	740983	2096614
523	742615	2095794
524	744401	2095405
525	746008	2094508
526	747438	2093112
527	748634	2091063
528	750223	2090109
529	751910	2089431
530	753933	2089675
531	755618	2088979
532	757211	2088026
533	758380	2085900
534	759742	2084312
535	761438	2083638
536	763363	2083584
537	765534	2084192
538	767467	2084145
539	769347	2083945
540	770689	2082288
541	772384	2081583
542	774293	2081448
543	776365	2081745
544	777910	2080623
545	779565	2079795
546	780639	2077417
547	782181	2076284
548	783716	2075132
549	785008	2073336
550	786848	2072987
551	788472	2072065
552	790271	2071598
553	792089	2071177
554	793476	2069626
555	794654	2067534
556	796223	2066457
557	797871	2065584
558	799821	2065487
559	801447	2064552
560	803030	2063501
561	804104	2061144
562	805673	2060059
563	807363	2059279
564	809404	2059389
565	811044	2058475
566	812673	2057529
567	813862	2055469
568	815464	2054452
